step,time,rain_volume,eta_volume,max_eta,min_eta
0,0.00,0.000000,0.000000,0.0000,0.0000
1,0.10,0.000000,0.000000,0.0000,0.0000
2,0.20,0.000000,0.000000,0.0000,0.0000
3,0.30,0.000000,0.000000,0.0000,0.0000
4,0.40,0.000000,0.000000,0.0000,0.0000
5,0.50,0.000000,0.000000,0.0000,0.0000
6,0.60,0.000000,0.000000,0.0000,0.0000
7,0.70,0.000000,0.000000,0.0000,0.0000
8,0.80,0.000000,0.000000,0.0000,0.0000
9,0.90,0.000000,0.000000,0.0000,0.0000
10,1.00,0.000000,0.000000,0.0000,0.0000
11,1.10,0.000000,0.000000,0.0000,0.0000
12,1.20,0.000000,0.000000,0.0004,-0.0004
13,1.30,0.000000,-0.000000,14.7425,-14.6623
14,1.40,0.000000,-0.000348,124045432.0000,-124045424.0000
15,1.50,0.000000,-20417181696.000000,3224817301610037248.0000,-3224817301610037248.0000
16,1.60,0.000000,-8531840245879013376.000000,14033232578037302954144101742673920.0000,-14033232578037302954144101742673920.0000
17,1.70,0.000000,-nan(ind),inf,-inf
18,1.80,0.000000,nan,inf,-inf
19,1.90,0.000000,nan,inf,-inf
20,2.00,0.000000,nan,inf,-inf
21,2.10,0.000000,nan,inf,-inf
22,2.20,0.000000,-nan(ind),inf,-inf
23,2.30,0.000000,-nan(ind),inf,-inf
24,2.40,0.000000,-nan(ind),inf,-inf
25,2.50,0.000000,-nan(ind),inf,-inf
26,2.60,0.000000,-nan(ind),inf,-inf
27,2.70,0.000000,-nan(ind),inf,-inf
28,2.80,0.000000,-nan(ind),inf,-inf
29,2.90,0.000000,-nan(ind),inf,-inf
30,3.00,0.000000,-nan(ind),inf,-inf
31,3.10,0.000000,-nan(ind),inf,-inf
32,3.20,0.000000,-nan(ind),inf,-inf
33,3.30,0.000000,-nan(ind),inf,-inf
34,3.40,0.000000,-nan(ind),inf,-inf
35,3.50,0.000000,-nan(ind),inf,-inf
36,3.60,0.000000,-nan(ind),inf,-inf
37,3.70,0.000000,-nan(ind),inf,-inf
38,3.80,0.000000,-nan(ind),inf,-inf
39,3.90,0.000000,-nan(ind),inf,-inf
40,4.00,0.000000,-nan(ind),inf,-inf
41,4.10,0.000000,-nan(ind),inf,-inf
42,4.20,0.000000,-nan(ind),inf,-inf
43,4.30,0.000000,-nan(ind),inf,-inf
44,4.40,0.000000,-nan(ind),inf,-inf
45,4.50,0.000000,-nan(ind),inf,-inf
46,4.60,0.000000,-nan(ind),inf,-inf
47,4.70,0.000000,-nan(ind),inf,-inf
48,4.80,0.000000,-nan(ind),inf,-inf
49,4.90,0.000000,-nan(ind),inf,-inf
50,5.00,0.000000,-nan(ind),inf,-inf
51,5.10,0.000000,-nan(ind),inf,-inf
52,5.20,0.000000,-nan(ind),inf,-inf
53,5.30,0.000000,-nan(ind),inf,-inf
54,5.40,0.000000,-nan(ind),inf,-inf
55,5.50,0.000000,-nan(ind),inf,-inf
56,5.60,0.000000,-nan(ind),inf,-inf
57,5.70,0.000000,-nan(ind),inf,-inf
58,5.80,0.000000,-nan(ind),inf,-inf
59,5.90,0.000000,-nan(ind),inf,-inf
60,6.00,0.000000,-nan(ind),inf,-inf
61,6.10,0.000000,-nan(ind),inf,-inf
62,6.20,0.000000,-nan(ind),inf,-inf
63,6.30,0.000000,-nan(ind),inf,-inf
64,6.40,0.000000,-nan(ind),inf,-inf
65,6.50,0.000000,-nan(ind),inf,-inf
66,6.60,0.000000,-nan(ind),inf,-inf
67,6.70,0.000000,-nan(ind),inf,-inf
68,6.80,0.000000,-nan(ind),inf,-inf
69,6.90,0.000000,-nan(ind),inf,-inf
70,7.00,0.000000,-nan(ind),inf,-inf
71,7.10,0.000000,-nan(ind),inf,-inf
72,7.20,0.000000,-nan(ind),inf,-inf
73,7.30,0.000000,-nan(ind),inf,-inf
74,7.40,0.000000,-nan(ind),inf,-inf
75,7.50,0.000000,-nan(ind),inf,-inf
76,7.60,0.000000,-nan(ind),inf,-inf
77,7.70,0.000000,-nan(ind),inf,-inf
78,7.80,0.000000,-nan(ind),inf,-inf
79,7.90,0.000000,-nan(ind),inf,-inf
80,8.00,0.000000,-nan(ind),inf,-inf
81,8.10,0.000000,-nan(ind),inf,-inf
82,8.20,0.000000,-nan(ind),inf,-inf
83,8.30,0.000000,-nan(ind),inf,-inf
84,8.40,0.000000,-nan(ind),inf,-inf
85,8.50,0.000000,-nan(ind),inf,-inf
86,8.60,0.000000,-nan(ind),inf,-inf
87,8.70,0.000000,-nan(ind),inf,-inf
88,8.80,0.000000,-nan(ind),inf,-inf
89,8.90,0.000000,-nan(ind),inf,-inf
90,9.00,0.000000,-nan(ind),inf,-inf
91,9.10,0.000000,-nan(ind),inf,-inf
92,9.20,0.000000,-nan(ind),inf,-inf
93,9.30,0.000000,-nan(ind),inf,-inf
94,9.40,0.000000,-nan(ind),inf,-inf
95,9.50,0.000000,-nan(ind),inf,-inf
96,9.60,0.000000,-nan(ind),inf,-inf
97,9.70,0.000000,-nan(ind),inf,-inf
98,9.80,0.000000,-nan(ind),inf,-inf
99,9.90,0.000000,-nan(ind),inf,-inf
100,10.00,0.000000,-nan(ind),inf,-inf
101,10.10,0.000000,-nan(ind),inf,-inf
102,10.20,0.000000,-nan(ind),inf,-inf
103,10.30,0.000000,-nan(ind),inf,-inf
104,10.40,0.000000,-nan(ind),inf,-inf
105,10.50,0.000000,-nan(ind),inf,-inf
106,10.60,0.000000,-nan(ind),inf,-inf
107,10.70,0.000000,-nan(ind),inf,-inf
108,10.80,0.000000,-nan(ind),inf,-inf
109,10.90,0.000000,-nan(ind),inf,-inf
110,11.00,0.000000,-nan(ind),inf,-inf
111,11.10,0.000000,-nan(ind),inf,-inf
112,11.20,0.000000,-nan(ind),inf,-inf
113,11.30,0.000000,-nan(ind),inf,-inf
114,11.40,0.000000,-nan(ind),inf,-inf
115,11.50,0.000000,-nan(ind),inf,-inf
116,11.60,0.000000,-nan(ind),inf,-inf
117,11.70,0.000000,-nan(ind),inf,-inf
118,11.80,0.000000,-nan(ind),inf,-inf
119,11.90,0.000000,-nan(ind),inf,-inf
120,12.00,0.000000,-nan(ind),inf,-inf
121,12.10,0.000000,-nan(ind),inf,-inf
122,12.20,0.000000,-nan(ind),inf,-inf
123,12.30,0.000000,-nan(ind),inf,-inf
124,12.40,0.000000,-nan(ind),inf,-inf
125,12.50,0.000000,-nan(ind),inf,-inf
126,12.60,0.000000,-nan(ind),inf,-inf
127,12.70,0.000000,-nan(ind),inf,-inf
128,12.80,0.000000,-nan(ind),inf,-inf
129,12.90,0.000000,-nan(ind),inf,-inf
130,13.00,0.000000,-nan(ind),inf,-inf
131,13.10,0.000000,-nan(ind),inf,-inf
132,13.20,0.000000,-nan(ind),inf,-inf
133,13.30,0.000000,-nan(ind),inf,-inf
134,13.40,0.000000,-nan(ind),inf,-inf
135,13.50,0.000000,-nan(ind),inf,-inf
136,13.60,0.000000,-nan(ind),inf,-inf
137,13.70,0.000000,-nan(ind),inf,-inf
138,13.80,0.000000,-nan(ind),inf,-inf
139,13.90,0.000000,-nan(ind),inf,-inf
140,14.00,0.000000,-nan(ind),inf,-inf
141,14.10,0.000000,-nan(ind),inf,-inf
