step,time,rain_volume,eta_volume,max_eta,min_eta
0,0.00,0.000000,10000.000000,2.7324,-4.9296
1,0.10,0.000009,10001.000000,14.2519,-8.9036
2,0.20,0.000022,10000.999023,18.6571,-19.0937
3,0.30,0.000033,10000.964844,23.4832,-21.4660
4,0.40,0.000050,9998.709961,24.0015,-22.9760
5,0.50,0.000062,9947.060547,52.5654,-50.4878
6,0.60,0.000082,8671.500000,1432.3589,-1514.4578
7,0.70,0.000096,-21429.623047,227442.0938,-214268.6875
8,0.80,0.000119,-24777360.000000,369556416.0000,-380187360.0000
9,0.90,0.000133,-3994735607808.000000,26772299055104.0000,-26109762600960.0000
10,1.00,0.000157,4090095294396497920.000000,420983299027060654080.0000,-421258088973074432000.0000
11,1.10,0.000173,-6274552886316922774324485554176.000000,29968717380221273740804087611392.0000,-29725955404236099285489689821184.0000
12,1.20,0.000196,-nan(ind),inf,-inf
13,1.30,0.000213,-nan(ind),inf,-inf
14,1.40,0.000235,-nan(ind),inf,-inf
15,1.50,0.000252,-nan(ind),inf,-inf
16,1.60,0.000273,-nan(ind),inf,-inf
17,1.70,0.000290,-nan(ind),inf,-inf
18,1.80,0.000309,-nan(ind),inf,-inf
19,1.90,0.000326,-nan(ind),inf,-inf
20,2.00,0.000343,-nan(ind),inf,-inf
21,2.10,0.000360,-nan(ind),inf,-inf
22,2.20,0.000378,-nan(ind),inf,-inf
23,2.30,0.000395,-nan(ind),inf,-inf
24,2.40,0.000412,-nan(ind),inf,-inf
25,2.50,0.000429,-nan(ind),inf,-inf
26,2.60,0.000446,-nan(ind),inf,-inf
27,2.70,0.000463,-nan(ind),inf,-inf
28,2.80,0.000481,-nan(ind),inf,-inf
29,2.90,0.000498,-nan(ind),inf,-inf
30,3.00,0.000515,-nan(ind),inf,-inf
31,3.10,0.000508,-nan(ind),inf,-inf
32,3.20,0.000500,-nan(ind),inf,-inf
33,3.30,0.000493,-nan(ind),inf,-inf
34,3.40,0.000486,nan,inf,-inf
35,3.50,0.000478,-nan(ind),inf,-inf
36,3.60,0.000471,-nan(ind),inf,-inf
37,3.70,0.000463,-nan(ind),inf,-inf
38,3.80,0.000456,-nan(ind),inf,-inf
39,3.90,0.000449,-nan(ind),inf,-inf
40,4.00,0.000441,-nan(ind),inf,-inf
41,4.10,0.000434,-nan(ind),inf,-inf
42,4.20,0.000427,-nan(ind),inf,-inf
43,4.30,0.000419,-nan(ind),inf,-inf
44,4.40,0.000412,-nan(ind),inf,-inf
45,4.50,0.000405,-nan(ind),inf,-inf
46,4.60,0.000397,-nan(ind),inf,-inf
47,4.70,0.000390,-nan(ind),inf,-inf
48,4.80,0.000383,-nan(ind),inf,-inf
49,4.90,0.000375,nan,inf,-inf
50,5.00,0.000368,nan,inf,-inf
51,5.10,0.000360,-nan(ind),inf,-inf
52,5.20,0.000353,-nan(ind),inf,-inf
53,5.30,0.000346,-nan(ind),inf,-inf
54,5.40,0.000338,-nan(ind),inf,-inf
55,5.50,0.000331,-nan(ind),inf,-inf
56,5.60,0.000324,-nan(ind),inf,-inf
57,5.70,0.000316,-nan(ind),inf,-inf
58,5.80,0.000309,-nan(ind),inf,-inf
59,5.90,0.000302,-nan(ind),inf,-inf
60,6.00,0.000294,-nan(ind),inf,-inf
61,6.10,0.000287,-nan(ind),inf,-inf
62,6.20,0.000280,nan,inf,-inf
63,6.30,0.000272,-nan(ind),inf,-inf
64,6.40,0.000265,-nan(ind),inf,-inf
65,6.50,0.000257,nan,inf,-inf
66,6.60,0.000250,-nan(ind),inf,-inf
67,6.70,0.000243,-nan(ind),inf,-inf
68,6.80,0.000235,-nan(ind),inf,-inf
69,6.90,0.000228,-nan(ind),inf,-inf
70,7.00,0.000221,-nan(ind),inf,-inf
71,7.10,0.000213,nan,inf,-inf
72,7.20,0.000206,-nan(ind),inf,-inf
73,7.30,0.000199,-nan(ind),inf,-inf
74,7.40,0.000191,-nan(ind),inf,-inf
75,7.50,0.000184,nan,inf,-inf
76,7.60,0.000177,nan,inf,-inf
77,7.70,0.000169,-nan(ind),inf,-inf
78,7.80,0.000162,-nan(ind),inf,-inf
79,7.90,0.000154,-nan(ind),inf,-inf
80,8.00,0.000147,-nan(ind),inf,-inf
81,8.10,0.000140,-nan(ind),inf,-inf
82,8.20,0.000132,-nan(ind),inf,-inf
83,8.30,0.000125,-nan(ind),inf,-inf
84,8.40,0.000118,-nan(ind),inf,-inf
85,8.50,0.000110,-nan(ind),inf,-inf
86,8.60,0.000103,-nan(ind),inf,-inf
87,8.70,0.000096,-nan(ind),inf,-inf
88,8.80,0.000088,-nan(ind),inf,-inf
89,8.90,0.000081,-nan(ind),inf,-inf
90,9.00,0.000074,-nan(ind),inf,-inf
91,9.10,0.000066,-nan(ind),inf,-inf
92,9.20,0.000059,nan,inf,-inf
93,9.30,0.000051,-nan(ind),inf,-inf
94,9.40,0.000044,-nan(ind),inf,-inf
95,9.50,0.000037,-nan(ind),inf,-inf
96,9.60,0.000029,-nan(ind),inf,-inf
97,9.70,0.000022,-nan(ind),inf,-inf
98,9.80,0.000015,-nan(ind),inf,-inf
99,9.90,0.000007,-nan(ind),inf,-inf
