step,time,rain_volume,eta_volume,max_eta,min_eta
0,0.00,0.000063,0.251250,30.000999,-9998.999023
1,0.10,0.000063,0.321655,303.816986,-14880.476562
2,0.20,0.000062,1.512385,99562.898438,-92471.148438
3,0.30,0.000061,2.894379,92750.335938,-92471.148438
4,0.40,0.000061,7.424011,99886.695312,-99913.843750
5,0.50,0.000060,13.237939,99993.085938,-99933.382812
6,0.60,0.000060,12.972789,99934.000000,-99962.507812
7,0.70,0.000059,19.417318,99953.304688,-99995.398438
8,0.80,0.000058,17.735239,99996.718750,-99995.945312
9,0.90,0.000058,16.241825,99998.015625,-99998.109375
10,1.00,0.000057,14.796740,99985.234375,-99951.484375
11,1.10,0.000057,13.935806,99995.546875,-99988.328125
12,1.20,0.000056,18.391365,99982.101562,-99953.632812
13,1.30,0.000056,14.311388,99995.414062,-99992.234375
14,1.40,0.000055,14.635226,99982.101562,-99994.992188
15,1.50,0.000054,14.096807,99995.734375,-99999.453125
16,1.60,0.000054,16.663160,99982.101562,-99924.492188
17,1.70,0.000053,15.141772,99982.101562,-99999.179688
18,1.80,0.000053,18.425097,99982.101562,-99993.554688
19,1.90,0.000052,17.116581,99984.296875,-99992.523438
20,2.00,0.000052,19.151213,99990.273438,-99981.796875
21,2.10,0.000051,16.865433,99988.093750,-99981.359375
22,2.20,0.000051,20.002350,99982.101562,-99998.523438
23,2.30,0.000050,19.886919,99997.304688,-99983.406250
24,2.40,0.000050,19.906315,99997.156250,-99994.992188
25,2.50,0.000049,19.358639,99982.101562,-99969.750000
26,2.60,0.000049,20.373152,99998.843750,-99994.062500
27,2.70,0.000048,20.950333,99982.687500,-99994.843750
28,2.80,0.000048,19.970404,99997.578125,-99945.765625
29,2.90,0.000047,20.176849,99995.273438,-99995.265625
30,3.00,0.000047,21.098440,99982.687500,-99995.093750
31,3.10,0.000046,20.948675,99982.687500,-99997.648438
32,3.20,0.000046,21.828432,99982.687500,-99995.093750
33,3.30,0.000046,22.037016,99982.687500,-99995.093750
34,3.40,0.000045,23.169132,99987.062500,-99995.093750
35,3.50,0.000045,22.556749,99982.687500,-99995.093750
36,3.60,0.000044,23.927980,99982.687500,-99995.093750
37,3.70,0.000044,24.727688,99982.687500,-99995.093750
38,3.80,0.000043,24.654985,99982.687500,-99995.093750
39,3.90,0.000043,24.605556,99982.687500,-99999.945312
40,4.00,0.000042,25.679800,99982.687500,-99995.093750
41,4.10,0.000042,25.077202,99991.507812,-99995.093750
42,4.20,0.000042,26.341015,99989.703125,-99995.093750
43,4.30,0.000041,26.062572,99990.296875,-99995.093750
44,4.40,0.000041,26.403683,99995.539062,-99995.093750
