step,time,rain_volume,eta_volume,max_eta,min_eta
0,0.00,0.000000,100.000000,2.7324,-4.9296
1,0.10,0.000001,101.000008,14.2519,-8.9036
2,0.20,0.000001,116.971878,18.6571,-19.0937
3,0.30,0.000002,387.739166,95.6818,-97.7895
4,0.40,0.000003,6411.032715,2103.7913,-3647.6763
5,0.50,0.000003,373647.687500,150746.3438,-170233.7656
6,0.60,0.000004,321063232.000000,165098656.0000,-260408912.0000
7,0.70,0.000005,7356465283072.000000,4376321064960.0000,-4142095400960.0000
8,0.80,0.000005,36379119015759446016.000000,25590842865416667136.0000,-38263321305953599488.0000
9,0.90,0.000006,361920127184809009490929123328.000000,319215049280513411637403713536.0000,-257291753179667779707897643008.0000
10,1.00,0.000007,-nan(ind),inf,-inf
11,1.10,0.000008,-nan(ind),inf,-inf
12,1.20,0.000008,-nan(ind),inf,1000000000.0000
13,1.30,0.000009,-nan(ind),inf,1000000000.0000
14,1.40,0.000010,-nan(ind),inf,1000000000.0000
15,1.50,0.000010,-nan(ind),inf,1000000000.0000
16,1.60,0.000011,-nan(ind),inf,1000000000.0000
17,1.70,0.000012,-nan(ind),inf,1000000000.0000
18,1.80,0.000009,-nan(ind),inf,1000000000.0000
19,1.90,0.000010,-nan(ind),inf,1000000000.0000
20,2.00,0.000010,-nan(ind),inf,1000000000.0000
21,2.10,0.000011,-nan(ind),inf,1000000000.0000
22,2.20,0.000015,-nan(ind),inf,1000000000.0000
23,2.30,0.000016,-nan(ind),inf,1000000000.0000
24,2.40,0.000016,-nan(ind),inf,1000000000.0000
25,2.50,0.000017,-nan(ind),inf,1000000000.0000
26,2.60,0.000018,-nan(ind),inf,1000000000.0000
27,2.70,0.000018,-nan(ind),inf,1000000000.0000
28,2.80,0.000019,-nan(ind),inf,1000000000.0000
29,2.90,0.000020,-nan(ind),inf,1000000000.0000
30,3.00,0.000021,-nan(ind),inf,1000000000.0000
31,3.10,0.000020,-nan(ind),inf,1000000000.0000
32,3.20,0.000020,-nan(ind),inf,1000000000.0000
33,3.30,0.000020,-nan(ind),inf,1000000000.0000
34,3.40,0.000019,-nan(ind),inf,1000000000.0000
35,3.50,0.000019,-nan(ind),inf,1000000000.0000
36,3.60,0.000019,-nan(ind),inf,1000000000.0000
37,3.70,0.000018,-nan(ind),inf,1000000000.0000
38,3.80,0.000013,-nan(ind),inf,1000000000.0000
39,3.90,0.000013,-nan(ind),inf,1000000000.0000
40,4.00,0.000013,-nan(ind),inf,1000000000.0000
41,4.10,0.000013,-nan(ind),inf,1000000000.0000
42,4.20,0.000017,-nan(ind),inf,1000000000.0000
43,4.30,0.000017,-nan(ind),inf,1000000000.0000
44,4.40,0.000016,-nan(ind),inf,1000000000.0000
45,4.50,0.000016,-nan(ind),inf,1000000000.0000
46,4.60,0.000016,-nan(ind),inf,1000000000.0000
47,4.70,0.000016,-nan(ind),inf,1000000000.0000
48,4.80,0.000015,-nan(ind),inf,1000000000.0000
49,4.90,0.000015,-nan(ind),inf,1000000000.0000
50,5.00,0.000015,-nan(ind),inf,1000000000.0000
51,5.10,0.000014,-nan(ind),inf,1000000000.0000
52,5.20,0.000014,-nan(ind),inf,1000000000.0000
53,5.30,0.000014,-nan(ind),inf,1000000000.0000
54,5.40,0.000013,-nan(ind),inf,1000000000.0000
55,5.50,0.000013,-nan(ind),inf,1000000000.0000
56,5.60,0.000013,-nan(ind),inf,1000000000.0000
57,5.70,0.000013,-nan(ind),inf,1000000000.0000
58,5.80,0.000009,-nan(ind),inf,1000000000.0000
59,5.90,0.000009,-nan(ind),inf,1000000000.0000
60,6.00,0.000009,-nan(ind),inf,1000000000.0000
61,6.10,0.000008,-nan(ind),inf,1000000000.0000
62,6.20,0.000011,-nan(ind),inf,1000000000.0000
63,6.30,0.000011,-nan(ind),inf,1000000000.0000
64,6.40,0.000011,-nan(ind),inf,1000000000.0000
65,6.50,0.000010,-nan(ind),inf,1000000000.0000
66,6.60,0.000010,-nan(ind),inf,1000000000.0000
67,6.70,0.000010,-nan(ind),inf,1000000000.0000
68,6.80,0.000009,-nan(ind),inf,1000000000.0000
69,6.90,0.000009,-nan(ind),inf,1000000000.0000
70,7.00,0.000009,-nan(ind),inf,1000000000.0000
71,7.10,0.000009,-nan(ind),inf,1000000000.0000
72,7.20,0.000008,-nan(ind),inf,1000000000.0000
73,7.30,0.000008,-nan(ind),inf,1000000000.0000
74,7.40,0.000008,-nan(ind),inf,1000000000.0000
75,7.50,0.000007,-nan(ind),inf,1000000000.0000
76,7.60,0.000007,-nan(ind),inf,1000000000.0000
77,7.70,0.000007,-nan(ind),inf,1000000000.0000
78,7.80,0.000005,-nan(ind),inf,1000000000.0000
79,7.90,0.000005,-nan(ind),inf,1000000000.0000
80,8.00,0.000004,-nan(ind),inf,1000000000.0000
81,8.10,0.000004,-nan(ind),inf,1000000000.0000
82,8.20,0.000005,-nan(ind),inf,1000000000.0000
83,8.30,0.000005,-nan(ind),inf,1000000000.0000
84,8.40,0.000005,-nan(ind),inf,1000000000.0000
85,8.50,0.000004,-nan(ind),inf,1000000000.0000
86,8.60,0.000004,-nan(ind),inf,1000000000.0000
87,8.70,0.000004,-nan(ind),inf,1000000000.0000
88,8.80,0.000004,-nan(ind),inf,1000000000.0000
89,8.90,0.000003,-nan(ind),inf,1000000000.0000
90,9.00,0.000003,-nan(ind),inf,1000000000.0000
91,9.10,0.000003,-nan(ind),inf,1000000000.0000
92,9.20,0.000002,-nan(ind),inf,1000000000.0000
93,9.30,0.000002,-nan(ind),inf,1000000000.0000
94,9.40,0.000002,-nan(ind),inf,1000000000.0000
95,9.50,0.000001,-nan(ind),inf,1000000000.0000
96,9.60,0.000001,-nan(ind),inf,1000000000.0000
97,9.70,0.000001,-nan(ind),inf,1000000000.0000
98,9.80,0.000000,-nan(ind),inf,1000000000.0000
99,9.90,0.000000,-nan(ind),inf,1000000000.0000
